Close,High,Low,Open,Volume
BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
44167.33203125,44175.4375,42214.9765625,42280.234375,18426978443
44957.96875,45899.70703125,44176.94921875,44187.140625,39335274536
42848.17578125,45503.2421875,40813.53515625,44961.6015625,46342323118
44179.921875,44770.0234375,42675.17578125,42855.81640625,30448091210
44162.69140625,44353.28515625,42784.71875,44192.98046875,32336029347
43989.1953125,44227.6328125,43475.15625,44178.953125,16092503468
43943.09765625,44495.5703125,43662.23046875,43998.46484375,19330573863
46970.50390625,47218.0,43244.08203125,43948.70703125,42746192015
46139.73046875,47893.69921875,45244.71484375,46987.640625,39821290992
46627.77734375,47647.22265625,44483.15234375,46121.5390625,50114613298
46368.5859375,48969.37109375,45678.64453125,46656.07421875,45833734549
42853.16796875,46498.13671875,41903.76953125,46354.79296875,43332698900
42842.3828125,43234.66015625,42464.14453125,42799.4453125,20601860469
41796.26953125,43065.59765625,41724.61328125,42842.26171875,17521429522
42511.96875,43319.72265625,41705.41796875,41715.06640625,22320220558
43154.9453125,43566.2734375,42085.99609375,42499.3359375,24062872740
42742.65234375,43189.890625,42189.30859375,43132.1015625,20851232595
41262.05859375,42876.34765625,40631.171875,42742.3125,25218357242
41618.40625,42134.16015625,40297.45703125,41278.4609375,25752407154
41665.5859375,41877.89453125,41446.82421875,41624.58984375,11586690904
41545.78515625,41855.3671875,41497.0078125,41671.48828125,9344043642
39507.3671875,41651.20703125,39450.1171875,41553.65234375,31338708143
39845.55078125,40127.3515625,38521.89453125,39518.71484375,29244553045
40077.07421875,40483.78515625,39508.796875,39877.59375,22359526178
39933.80859375,40254.48046875,39545.6640625,40075.55078125,18491782013
41816.87109375,42209.38671875,39825.69140625,39936.81640625,25598119893
42120.0546875,42195.6328125,41431.28125,41815.625,11422941934
42035.59375,42797.17578125,41696.91015625,42126.125,16858971687
43288.24609375,43305.8671875,41818.33203125,42030.9140625,20668476578
42952.609375,43838.9453125,42711.37109375,43300.2265625,23842814518
42582.60546875,43717.40625,42298.9453125,42946.25,24673628793
43075.7734375,43243.16796875,41879.19140625,42569.76171875,21423953779
43185.859375,43422.48828125,42584.3359375,43077.640625,18603843039
42992.25,43359.94140625,42890.80859375,43184.96484375,11169245236
42583.58203125,43097.64453125,42374.83203125,42994.94140625,14802225490
42658.66796875,43494.25,42264.81640625,42577.62109375,18715487317
43084.671875,43344.1484375,42529.01953125,42657.390625,16798476726
44318.22265625,44341.94921875,42775.95703125,43090.01953125,21126587775
45301.56640625,45575.83984375,44332.125,44332.125,26154524080
47147.19921875,48152.49609375,45260.82421875,45297.3828125,39316770844
47771.27734375,48146.171875,46905.3203125,47153.52734375,16398681570
48293.91796875,48535.9375,47617.40625,47768.96875,19315867136
49958.22265625,50280.4765625,47745.76171875,48296.38671875,34511985805
49742.44140625,50358.390625,48406.49609375,49941.359375,35593051468
51826.6953125,52021.37109375,49296.83203125,49733.4453125,39105608050
51938.5546875,52820.06640625,51371.62890625,51836.78515625,38564360533
52160.203125,52537.96875,51641.3671875,51937.7265625,28180567298
51662.99609375,52191.9140625,50669.66796875,52161.67578125,20009091006
52122.546875,52356.96484375,51233.70703125,51661.96875,17595377311
51779.14453125,52483.32421875,51711.8203125,52134.8125,21362184346
52284.875,52945.05078125,50792.3125,51777.7265625,33353758256
51839.1796875,52368.81640625,50671.7578125,52273.53515625,28624907020
51304.97265625,52009.61328125,50926.29296875,51854.64453125,25413900611
50731.94921875,51497.93359375,50561.77734375,51283.90625,21427078270
51571.1015625,51684.1953125,50585.4453125,50736.37109375,15174077879
51733.23828125,51950.02734375,51306.171875,51565.21484375,15413239245
54522.40234375,54938.17578125,50931.03125,51730.5390625,34074411896
57085.37109375,57537.83984375,54484.19921875,54519.36328125,49756832031
62504.7890625,63913.1328125,56738.42578125,57071.09765625,83239156760
61198.3828125,63585.64453125,60498.73046875,62499.18359375,65496611844
62440.6328125,63155.1015625,60802.52734375,61168.0625,40186368423
62029.84765625,62458.69921875,61657.2890625,62431.65234375,23888473685
63167.37109375,63230.2109375,61435.0234375,62031.578125,26253811450
68330.4140625,68537.03125,62386.51953125,63137.00390625,70670471105
63801.19921875,69170.625,59323.91015625,68341.0546875,102802940877
66106.8046875,67637.9296875,62848.671875,63776.05078125,68750229073
66925.484375,68029.921875,65655.53125,66099.7421875,46989543159
68300.09375,70083.0546875,66230.453125,66938.09375,59202881172
68498.8828125,68673.0546875,68053.125,68299.2578125,21609650379
69019.7890625,70005.203125,68239.9765625,68500.2578125,35683977532
72123.90625,72850.7109375,67194.8828125,69020.546875,65716656765
71481.2890625,72825.65625,68728.8515625,72125.125,62554434520
73083.5,73637.4765625,71334.09375,71482.1171875,48212536929
71396.59375,73750.0703125,68563.0234375,73079.375,59594605698
69403.7734375,72357.1328125,65630.6953125,71387.875,78320453976
65315.1171875,70046.2734375,64801.39453125,69392.484375,46842198371
68390.625,68845.71875,64545.31640625,65316.34375,44716864318
67548.59375,68897.1328125,66594.2265625,68371.3046875,49261579492
61912.7734375,68106.9296875,61536.1796875,67556.1328125,74215844794
67913.671875,68115.2578125,60807.78515625,61930.15625,66792634382
65491.390625,68199.9921875,64580.91796875,67911.5859375,44480350565
63778.76171875,66623.75,62355.37109375,65489.9296875,41401116964
64062.203125,65976.3984375,63038.4921875,63802.72265625,24738964812
67234.171875,67622.7578125,63825.8515625,64070.75390625,27206630673
69958.8125,71162.59375,66414.8359375,67234.09375,42700139523
69987.8359375,71535.7421875,69335.609375,69931.328125,36010437368
